id,requirement,conflicts,conflict_count,severity,resolution
REQ-001,System must support premium features with enterprise-grade security,"['Budget', 'Security']",2,Medium,"**Resolution:**To balance budget constraints with enterprise-grade security, prioritize premium features that align with critical security needs (e.g., encryption, access controls) while deferring or offering optional paid upgrades for non-essential premium features. Use cost-effective security frameworks (e.g., open-source tools) to meet baseline requirements, ensuring core functionality remains intact without
 compromising safety."
REQ-004,Use free open-source database for all operations,"['Budget', 'Security']",2,Medium,"**Resolution:** While open-source databases like PostgreSQL or MySQL are cost-effective and secure, budget constraints and security risks may require a hybrid approach. Consider using a free open-source database for non-critical operations (e.g., reporting) while opting for a managed cloud database (e.g., AWS RDS with PostgreSQL) for sensitive data to ensure compliance and reliability. This balances cost, security, and functionality."
REQ-005,Require biometric authentication for all access points,"['Budget', 'Security']",2,Medium,"**Resolution:**
To balance budget constraints and security, implement biometric authentication only at high-risk access points (e.g., main entrances, staff areas) while using cost-effective alternatives like RFID cards or PIN codes for lower-risk areas. This maintains robust security for critical zones while reducing implementation costs. For added flexibility, consider phased adoption of biometrics as budget allows."
REQ-008,Implement AI-powered predictive maintenance system,"['Budget', 'Space']",2,Medium,"**Resolution:** To address budget and space constraints, prioritize predictive maintenance for high-impact systems (e.g., HVAC, plumbing) using lightweight AI models (e.g., rule-based or edge-computing solutions) instead of resource-intensive cloud-based systems. Alternatively, phase the implementation, starting with critical areas and scaling as resources allow, while leveraging existing IoT sensors to minimize hardware costs. This ensures core functionality while mitigating conflicts."
REQ-009,Use consumer-grade hardware for critical systems,"['Budget', 'Security']",2,Medium,Error: Could not generate resolution
REQ-011,"No dedicated IT staff, students manage system","['Budget', 'Security']",2,Medium,"**Resolution:**
To address budget and security concerns while maintaining core functionality, implement a cloud-based hostel management system with automated updates and role-based access controls. Provide students with basic training and a simple, intuitive interface to minimize IT dependency, while leveraging built-in security features like multi-factor authentication and regular backups. Consider a freemium or low-cost SaaS model to reduce maintenance costs."
REQ-013,Real-time facial recognition at all entry points,"['Budget', 'Security']",2,Medium,"**Resolution:**
To balance budget and security concerns, implement facial recognition at high-risk entry points (e.g., main entrances) while using cost-effective alternatives like RFID cards or PIN access for secondary points. For enhanced security, integrate the system with existing surveillance cameras to reduce hardware costs while maintaining real-time monitoring capabilities. This approach preserves core functionality while optimizing resource allocation."
REQ-014,Store all data on local USB drives,"['Budget', 'Compliance', 'Security']",3,High,"**Resolution:**
To address budget, compliance, and security concerns, transition to encrypted cloud storage with local backups to USB drives for redundancy. This balances cost efficiency, regulatory compliance (e.g., GDPR), and data security while maintaining offline access. Alternatively, use network-attached storage (NAS) with encryption for a scalable, centralized solution that meets compliance standards."
REQ-016,Minimal password requirements to reduce support costs,"['Budget', 'Security']",2,Medium,"**Resolution:**
To balance security and budget, implement a **moderate password policy** (e.g., 8+ characters, requiring at least one number or special character) to reduce support costs while maintaining basic protection. Offer optional multi-factor authentication (MFA) for high-risk accounts to enhance security without mandating it system-wide. This approach minimizes support overhead while addressing critical security gaps.

*(This resolves the conflict by reducing complexity for most users while providing stronger security options where needed.)*"
REQ-017,Single database instance without backup,"['Budget', 'Compliance']",2,Medium,"**Resolution:** To address budget constraints while ensuring compliance, implement a cost-effective backup solution like automated cloud backups (e.g., AWS RDS snapshots) or a scheduled local backup process. If budget remains a concern, prioritize critical data backups (e.g., guest records) over non-essential logs, balancing functionality with risk mitigation."
REQ-019,Outsource all operations to lowest bidder,"['Budget', 'Security']",2,Medium,"**Resolution:**
To mitigate budget and security risks, prioritize cost-effective vendors with proven security certifications (e.g., ISO 27001) rather than selecting solely based on the lowest bid. Alternatively, adopt a hybrid model where critical operations (e.g., guest data handling) remain in-house while non-sensitive tasks are outsourced. This balances cost savings with operational integrity."
REQ-020,No encryption to save processing costs,"['Budget', 'Compliance', 'Security']",3,High,"**Resolution:**
To balance budget constraints with security and compliance, consider implementing lightweight encryption (e.g., AES-128) for sensitive data (e.g., guest details, payments) while avoiding costly full-system encryption. Alternatively, use hashing (e.g., bcrypt) for passwords and store non-sensitive data in plaintext. This minimizes processing overhead while meeting basic compliance standards (e.g., GDPR, PCI-DSS)."
REQ-021,24/7 phone support with 2-person team,"['Budget', 'Space']",2,Medium,"**Resolution:**
To address budget and space constraints while maintaining 24/7 phone support, consider rotating a single team member with staggered shifts (e.g., 12-hour shifts) or leveraging remote support staff to reduce physical space needs. Alternatively, supplement human support with an AI-powered chatbot for non-urgent queries, reserving live support for critical issues. This balances cost, space, and core functionality."
REQ-023,Free WiFi throughout campus with no security,"['Budget', 'Security']",2,Medium,"**Resolution:**
To balance budget and security concerns, implement a cost-effective WiFi solution with basic security measures (e.g., password-protected access or time-limited guest logins) rather than completely open networks. Alternatively, offer free WiFi in common areas while restricting access in sensitive zones, ensuring core functionality while mitigating risks. This approach reduces exposure to threats without eliminating the convenience of campus-wide connectivity."
REQ-025,Cloud storage with on-premise backup simultaneously,"['Budget', 'Space']",2,Medium,"**Resolution:** To balance budget and space constraints, implement a hybrid storage approach where critical data is stored in the cloud with automated, incremental on-premise backups to a cost-effective, high-capacity NAS device. This reduces cloud storage costs while ensuring local redundancy. Alternatively, use a tiered backup strategy where frequently accessed data remains cloud-based, and archival backups are stored on-premise."
REQ-027,Use spreadsheet software as primary database,"['Budget', 'Compliance']",2,Medium,"**Resolution:**
Using spreadsheet software as a primary database may violate compliance standards (e.g., data security, GDPR) and exceed budget constraints for scalable solutions. Transition to a lightweight relational database (e.g., SQLite or PostgreSQL) for core data while retaining spreadsheets for reporting/analysis. This balances cost, compliance, and functionality while preserving spreadsheet usability for non-critical tasks."
REQ-029,Implement zero-budget disaster recovery plan,"['Budget', 'Compliance']",2,Medium,"**Resolution:**
To address the budget and compliance conflicts, implement a **low-cost disaster recovery plan** that leverages free or open-source tools (e.g., automated backups to cloud storage) and prioritizes critical data recovery. Modify the requirement to focus on **minimal viable recovery** (e.g., restoring essential records) while ensuring compliance by documenting the plan and testing it periodically. This balances functionality with feasibility."
REQ-031,Require multi-factor authentication universally,"['Compliance', 'Security']",2,Medium,"**Resolution:**
To balance compliance and security while avoiding excessive friction, implement multi-factor authentication (MFA) for high-risk actions (e.g., account access, financial transactions) rather than universally. For lower-risk interactions (e.g., booking inquiries), allow single-factor authentication with session timeouts and activity monitoring. This maintains security without overburdening users or violating compliance standards like accessibility guidelines."
REQ-032,Store backups on employee personal devices,"['Budget', 'Compliance', 'Security']",3,High,"**Resolution:**
To address budget, compliance, and security concerns, replace personal device backups with a **centralized, encrypted cloud or on-premise backup server** with role-based access controls. If budget constraints persist, use **approved, company-managed external drives** for backups, ensuring they are stored securely and audited regularly. This maintains backup functionality while mitigating risks."
REQ-033,Implement real-time video monitoring system,"['Budget', 'Space']",2,Medium,"**Resolution:** To address budget and space constraints, implement a hybrid system using a limited number of strategically placed cameras (e.g., high-traffic areas) with cloud-based storage instead of on-site servers. Alternatively, integrate existing security cameras with a cost-effective third-party monitoring service, ensuring real-time access without excessive hardware investment. This balances functionality with resource limitations while maintaining core surveillance capabilities."
REQ-037,Instant global deployment capability,"['Budget', 'Space']",2,Medium,"**Resolution:**
To balance budget and space constraints while maintaining instant global deployment, prioritize cloud-based deployment over physical infrastructure. Use containerization (e.g., Docker) and serverless architectures to reduce hardware costs and space needs. For critical on-premise components, adopt modular, scalable designs that allow phased, region-specific rollouts.

*(This preserves core functionality while mitigating conflicts.)*"
REQ-038,Use deprecated software to avoid license costs,"['Budget', 'Compliance', 'Security']",3,High,"**Resolution:**
To address budget constraints while ensuring compliance and security, transition to open-source or community-supported alternatives that offer similar functionality without licensing costs. If deprecated software is unavoidable, implement strict isolation, regular security audits, and a clear migration plan to a supported solution within a defined timeline. Prioritize core features that can be maintained without the deprecated software to minimize risk."
REQ-041,Real-time sync across 1000+ locations,"['Budget', 'Space']",2,Medium,"**Resolution:**
To balance budget and space constraints while maintaining real-time sync across 1000+ locations, implement a hybrid sync model: prioritize critical data (e.g., bookings, payments) for real-time updates via a lightweight API, while deferring non-critical data (e.g., guest feedback) to scheduled batch syncs. Use edge computing to reduce server load and minimize bandwidth costs, ensuring scalability without excessive infrastructure overhead.

*(Addresses conflicts by optimizing cost/space via selective sync; maintains core functionality with tiered prioritization.)*"
REQ-042,Store credit card data in plain text files,"['Budget', 'Compliance', 'Security']",3,High,"**Resolution:**
Storing credit card data in plain text files violates PCI DSS compliance and exposes the system to severe security risks. Instead, implement a secure payment gateway that tokenizes or encrypts card data, ensuring compliance while maintaining payment functionality. For internal records, store only the last four digits and expiration date, with all sensitive data handled by a certified third-party processor."
